headline_id,source,headline_text,category,published_date,cleaned_text,sentiment_score,sentiment_label
126,BBC,Central banks signal interest rate adjustments next quarter.,Technology,2024-07-04,central banks signal interest rate adjustments next quarter,0.2294,Positive
127,Bloomberg,Central banks signal interest rate adjustments next quarter.,Business,2024-07-05,central banks signal interest rate adjustments next quarter,0.2294,Positive
128,Reuters,E-commerce sees record sales during holiday season.,Policy,2024-07-06,ecommerce sees record sales holiday season,0.20095,Positive
129,Bloomberg,Energy sector rebounds as oil prices stabilize.,Finance,2024-07-07,energy sector rebounds oil prices stabilize,0.1366,Positive
130,TechCrunch,Cloud computing adoption accelerates across industries.,Policy,2024-07-08,cloud computing adoption accelerates across industries,0.0,Neutral
131,Forbes,Cloud computing adoption accelerates across industries.,Technology,2024-07-09,cloud computing adoption accelerates across industries,0.0,Neutral
132,TechCrunch,E-commerce sees record sales during holiday season.,Technology,2024-07-10,ecommerce sees record sales holiday season,0.20095,Positive
133,Forbes,Cloud computing adoption accelerates across industries.,Markets,2024-07-11,cloud computing adoption accelerates across industries,0.0,Neutral
134,Reuters,New regulations impact data privacy and compliance trends.,Markets,2024-07-12,new regulations impact data privacy compliance trends,0.06818181818181818,Positive
135,BBC,Consumer confidence grows as GDP expands in Q3.,Markets,2024-07-13,consumer confidence grows gdp expands,0.28595,Positive
136,Bloomberg,Tech giants see surge in stock prices amid AI boom.,Technology,2024-07-14,tech giants see surge stock prices amid boom,0.0,Neutral
137,Forbes,Consumer confidence grows as GDP expands in Q3.,Policy,2024-07-15,consumer confidence grows gdp expands,0.28595,Positive
138,Forbes,Innovative startups disrupt traditional retail ecosystems.,Finance,2024-07-16,innovative startups disrupt traditional retail ecosystems,0.3452,Positive
139,BBC,Energy sector rebounds as oil prices stabilize.,Markets,2024-07-17,energy sector rebounds oil prices stabilize,0.1366,Positive
140,TechCrunch,E-commerce sees record sales during holiday season.,Business,2024-07-18,ecommerce sees record sales holiday season,0.20095,Positive
141,BBC,Cloud computing adoption accelerates across industries.,Policy,2024-07-19,cloud computing adoption accelerates across industries,0.0,Neutral
142,Reuters,Central banks signal interest rate adjustments next quarter.,Markets,2024-07-20,central banks signal interest rate adjustments next quarter,0.2294,Positive
143,BBC,Innovative startups disrupt traditional retail ecosystems.,Policy,2024-07-21,innovative startups disrupt traditional retail ecosystems,0.3452,Positive
144,BBC,Major brand unveils sustainability roadmap for 2030.,Finance,2024-07-22,major brand unveils sustainability roadmap,0.03125,Neutral
145,TechCrunch,E-commerce sees record sales during holiday season.,Technology,2024-07-23,ecommerce sees record sales holiday season,0.20095,Positive
146,Reuters,New regulations impact data privacy and compliance trends.,Markets,2024-07-24,new regulations impact data privacy compliance trends,0.06818181818181818,Positive
147,BBC,New regulations impact data privacy and compliance trends.,Finance,2024-07-25,new regulations impact data privacy compliance trends,0.06818181818181818,Positive
148,Forbes,Tech giants see surge in stock prices amid AI boom.,Markets,2024-07-26,tech giants see surge stock prices amid boom,0.0,Neutral
149,TechCrunch,Innovative startups disrupt traditional retail ecosystems.,Technology,2024-07-27,innovative startups disrupt traditional retail ecosystems,0.3452,Positive
150,TechCrunch,E-commerce sees record sales during holiday season.,Technology,2024-07-28,ecommerce sees record sales holiday season,0.20095,Positive
151,Forbes,Market volatility rises after unexpected inflation data.,Markets,2024-07-29,market volatility rises unexpected inflation data,0.05,Neutral
152,Forbes,Central banks signal interest rate adjustments next quarter.,Markets,2024-07-30,central banks signal interest rate adjustments next quarter,0.2294,Positive
153,TechCrunch,Energy sector rebounds as oil prices stabilize.,Business,2024-07-31,energy sector rebounds oil prices stabilize,0.1366,Positive
154,Reuters,Tech giants see surge in stock prices amid AI boom.,Policy,2024-08-01,tech giants see surge stock prices amid boom,0.0,Neutral
155,TechCrunch,Major brand unveils sustainability roadmap for 2030.,Finance,2024-08-02,major brand unveils sustainability roadmap,0.03125,Neutral
156,Bloomberg,Consumer confidence grows as GDP expands in Q3.,Policy,2024-08-03,consumer confidence grows gdp expands,0.28595,Positive
157,Reuters,Innovative startups disrupt traditional retail ecosystems.,Markets,2024-08-04,innovative startups disrupt traditional retail ecosystems,0.3452,Positive
158,Bloomberg,Innovative startups disrupt traditional retail ecosystems.,Finance,2024-08-05,innovative startups disrupt traditional retail ecosystems,0.3452,Positive
159,BBC,Central banks signal interest rate adjustments next quarter.,Technology,2024-08-06,central banks signal interest rate adjustments next quarter,0.2294,Positive
160,TechCrunch,New regulations impact data privacy and compliance trends.,Markets,2024-08-07,new regulations impact data privacy compliance trends,0.06818181818181818,Positive
161,Forbes,E-commerce sees record sales during holiday season.,Business,2024-08-08,ecommerce sees record sales holiday season,0.20095,Positive
162,Forbes,Central banks signal interest rate adjustments next quarter.,Markets,2024-08-09,central banks signal interest rate adjustments next quarter,0.2294,Positive
163,TechCrunch,E-commerce sees record sales during holiday season.,Technology,2024-08-10,ecommerce sees record sales holiday season,0.20095,Positive
164,Reuters,Innovative startups disrupt traditional retail ecosystems.,Finance,2024-08-11,innovative startups disrupt traditional retail ecosystems,0.3452,Positive
165,Bloomberg,Consumer confidence grows as GDP expands in Q3.,Policy,2024-08-12,consumer confidence grows gdp expands,0.28595,Positive
166,BBC,E-commerce sees record sales during holiday season.,Markets,2024-08-13,ecommerce sees record sales holiday season,0.20095,Positive
167,Reuters,Energy sector rebounds as oil prices stabilize.,Technology,2024-08-14,energy sector rebounds oil prices stabilize,0.1366,Positive
168,Forbes,Central banks signal interest rate adjustments next quarter.,Business,2024-08-15,central banks signal interest rate adjustments next quarter,0.2294,Positive
169,BBC,Market volatility rises after unexpected inflation data.,Markets,2024-08-16,market volatility rises unexpected inflation data,0.05,Neutral
170,BBC,Innovative startups disrupt traditional retail ecosystems.,Finance,2024-08-17,innovative startups disrupt traditional retail ecosystems,0.3452,Positive
171,BBC,Energy sector rebounds as oil prices stabilize.,Finance,2024-08-18,energy sector rebounds oil prices stabilize,0.1366,Positive
172,Bloomberg,Consumer confidence grows as GDP expands in Q3.,Business,2024-08-19,consumer confidence grows gdp expands,0.28595,Positive
173,BBC,New regulations impact data privacy and compliance trends.,Business,2024-08-20,new regulations impact data privacy compliance trends,0.06818181818181818,Positive
174,TechCrunch,Market volatility rises after unexpected inflation data.,Finance,2024-08-21,market volatility rises unexpected inflation data,0.05,Neutral
175,Forbes,Consumer confidence grows as GDP expands in Q3.,Markets,2024-08-22,consumer confidence grows gdp expands,0.28595,Positive
176,BBC,Central banks signal interest rate adjustments next quarter.,Business,2024-08-23,central banks signal interest rate adjustments next quarter,0.2294,Positive
177,Bloomberg,Innovative startups disrupt traditional retail ecosystems.,Finance,2024-08-24,innovative startups disrupt traditional retail ecosystems,0.3452,Positive
178,Reuters,E-commerce sees record sales during holiday season.,Finance,2024-08-25,ecommerce sees record sales holiday season,0.20095,Positive
179,TechCrunch,Energy sector rebounds as oil prices stabilize.,Policy,2024-08-26,energy sector rebounds oil prices stabilize,0.1366,Positive
180,TechCrunch,Cloud computing adoption accelerates across industries.,Finance,2024-08-27,cloud computing adoption accelerates across industries,0.0,Neutral
181,Reuters,Energy sector rebounds as oil prices stabilize.,Finance,2024-08-28,energy sector rebounds oil prices stabilize,0.1366,Positive
182,TechCrunch,Market volatility rises after unexpected inflation data.,Technology,2024-08-29,market volatility rises unexpected inflation data,0.05,Neutral
183,Reuters,Central banks signal interest rate adjustments next quarter.,Finance,2024-08-30,central banks signal interest rate adjustments next quarter,0.2294,Positive
184,BBC,Tech giants see surge in stock prices amid AI boom.,Finance,2024-08-31,tech giants see surge stock prices amid boom,0.0,Neutral
185,BBC,Central banks signal interest rate adjustments next quarter.,Policy,2024-09-01,central banks signal interest rate adjustments next quarter,0.2294,Positive
186,Forbes,Major brand unveils sustainability roadmap for 2030.,Technology,2024-09-02,major brand unveils sustainability roadmap,0.03125,Neutral
187,Forbes,Tech giants see surge in stock prices amid AI boom.,Business,2024-09-03,tech giants see surge stock prices amid boom,0.0,Neutral
188,TechCrunch,Central banks signal interest rate adjustments next quarter.,Technology,2024-09-04,central banks signal interest rate adjustments next quarter,0.2294,Positive
189,TechCrunch,Consumer confidence grows as GDP expands in Q3.,Markets,2024-09-05,consumer confidence grows gdp expands,0.28595,Positive
190,BBC,Innovative startups disrupt traditional retail ecosystems.,Policy,2024-09-06,innovative startups disrupt traditional retail ecosystems,0.3452,Positive
191,BBC,Tech giants see surge in stock prices amid AI boom.,Technology,2024-09-07,tech giants see surge stock prices amid boom,0.0,Neutral
192,Reuters,E-commerce sees record sales during holiday season.,Finance,2024-09-08,ecommerce sees record sales holiday season,0.20095,Positive
193,BBC,Central banks signal interest rate adjustments next quarter.,Policy,2024-09-09,central banks signal interest rate adjustments next quarter,0.2294,Positive
194,TechCrunch,Major brand unveils sustainability roadmap for 2030.,Business,2024-09-10,major brand unveils sustainability roadmap,0.03125,Neutral
195,Bloomberg,Major brand unveils sustainability roadmap for 2030.,Finance,2024-09-11,major brand unveils sustainability roadmap,0.03125,Neutral
196,TechCrunch,Energy sector rebounds as oil prices stabilize.,Business,2024-09-12,energy sector rebounds oil prices stabilize,0.1366,Positive
197,Forbes,E-commerce sees record sales during holiday season.,Business,2024-09-13,ecommerce sees record sales holiday season,0.20095,Positive
198,Bloomberg,Market volatility rises after unexpected inflation data.,Policy,2024-09-14,market volatility rises unexpected inflation data,0.05,Neutral
199,Reuters,Central banks signal interest rate adjustments next quarter.,Business,2024-09-15,central banks signal interest rate adjustments next quarter,0.2294,Positive
200,BBC,Innovative startups disrupt traditional retail ecosystems.,Policy,2024-09-16,innovative startups disrupt traditional retail ecosystems,0.3452,Positive
201,Bloomberg,E-commerce sees record sales during holiday season.,Finance,2024-09-17,ecommerce sees record sales holiday season,0.20095,Positive
202,Forbes,Major brand unveils sustainability roadmap for 2030.,Markets,2024-09-18,major brand unveils sustainability roadmap,0.03125,Neutral
203,TechCrunch,Tech giants see surge in stock prices amid AI boom.,Technology,2024-09-19,tech giants see surge stock prices amid boom,0.0,Neutral
204,Forbes,New regulations impact data privacy and compliance trends.,Markets,2024-09-20,new regulations impact data privacy compliance trends,0.06818181818181818,Positive
205,TechCrunch,Cloud computing adoption accelerates across industries.,Policy,2024-09-21,cloud computing adoption accelerates across industries,0.0,Neutral
206,TechCrunch,Consumer confidence grows as GDP expands in Q3.,Technology,2024-09-22,consumer confidence grows gdp expands,0.28595,Positive
207,Forbes,Consumer confidence grows as GDP expands in Q3.,Markets,2024-09-23,consumer confidence grows gdp expands,0.28595,Positive
208,BBC,Innovative startups disrupt traditional retail ecosystems.,Policy,2024-09-24,innovative startups disrupt traditional retail ecosystems,0.3452,Positive
209,TechCrunch,Cloud computing adoption accelerates across industries.,Technology,2024-09-25,cloud computing adoption accelerates across industries,0.0,Neutral
210,Forbes,Central banks signal interest rate adjustments next quarter.,Business,2024-09-26,central banks signal interest rate adjustments next quarter,0.2294,Positive
211,Reuters,Consumer confidence grows as GDP expands in Q3.,Finance,2024-09-27,consumer confidence grows gdp expands,0.28595,Positive
212,BBC,Cloud computing adoption accelerates across industries.,Business,2024-09-28,cloud computing adoption accelerates across industries,0.0,Neutral
213,Reuters,Major brand unveils sustainability roadmap for 2030.,Markets,2024-09-29,major brand unveils sustainability roadmap,0.03125,Neutral
214,Reuters,E-commerce sees record sales during holiday season.,Finance,2024-09-30,ecommerce sees record sales holiday season,0.20095,Positive
215,BBC,New regulations impact data privacy and compliance trends.,Business,2024-10-01,new regulations impact data privacy compliance trends,0.06818181818181818,Positive
216,BBC,New regulations impact data privacy and compliance trends.,Business,2024-10-02,new regulations impact data privacy compliance trends,0.06818181818181818,Positive
217,TechCrunch,Tech giants see surge in stock prices amid AI boom.,Business,2024-10-03,tech giants see surge stock prices amid boom,0.0,Neutral
218,TechCrunch,Innovative startups disrupt traditional retail ecosystems.,Policy,2024-10-04,innovative startups disrupt traditional retail ecosystems,0.3452,Positive
219,TechCrunch,Cloud computing adoption accelerates across industries.,Technology,2024-10-05,cloud computing adoption accelerates across industries,0.0,Neutral
220,Reuters,Market volatility rises after unexpected inflation data.,Business,2024-10-06,market volatility rises unexpected inflation data,0.05,Neutral
221,BBC,E-commerce sees record sales during holiday season.,Finance,2024-10-07,ecommerce sees record sales holiday season,0.20095,Positive
222,TechCrunch,Innovative startups disrupt traditional retail ecosystems.,Business,2024-10-08,innovative startups disrupt traditional retail ecosystems,0.3452,Positive
223,Reuters,Cloud computing adoption accelerates across industries.,Business,2024-10-09,cloud computing adoption accelerates across industries,0.0,Neutral
224,BBC,Tech giants see surge in stock prices amid AI boom.,Markets,2024-10-10,tech giants see surge stock prices amid boom,0.0,Neutral
225,BBC,Consumer confidence grows as GDP expands in Q3.,Markets,2024-10-11,consumer confidence grows gdp expands,0.28595,Positive
226,Bloomberg,Market volatility rises after unexpected inflation data.,Policy,2024-10-12,market volatility rises unexpected inflation data,0.05,Neutral
227,TechCrunch,Cloud computing adoption accelerates across industries.,Business,2024-10-13,cloud computing adoption accelerates across industries,0.0,Neutral
228,BBC,Central banks signal interest rate adjustments next quarter.,Markets,2024-10-14,central banks signal interest rate adjustments next quarter,0.2294,Positive
229,Reuters,Energy sector rebounds as oil prices stabilize.,Technology,2024-10-15,energy sector rebounds oil prices stabilize,0.1366,Positive
230,Reuters,Market volatility rises after unexpected inflation data.,Business,2024-10-16,market volatility rises unexpected inflation data,0.05,Neutral
231,Reuters,Market volatility rises after unexpected inflation data.,Technology,2024-10-17,market volatility rises unexpected inflation data,0.05,Neutral
232,Bloomberg,Consumer confidence grows as GDP expands in Q3.,Policy,2024-10-18,consumer confidence grows gdp expands,0.28595,Positive
233,TechCrunch,E-commerce sees record sales during holiday season.,Finance,2024-10-19,ecommerce sees record sales holiday season,0.20095,Positive
234,Forbes,E-commerce sees record sales during holiday season.,Policy,2024-10-20,ecommerce sees record sales holiday season,0.20095,Positive
235,BBC,Tech giants see surge in stock prices amid AI boom.,Finance,2024-10-21,tech giants see surge stock prices amid boom,0.0,Neutral
236,Forbes,Market volatility rises after unexpected inflation data.,Markets,2024-10-22,market volatility rises unexpected inflation data,0.05,Neutral
237,Reuters,E-commerce sees record sales during holiday season.,Markets,2024-10-23,ecommerce sees record sales holiday season,0.20095,Positive
238,Bloomberg,Market volatility rises after unexpected inflation data.,Technology,2024-10-24,market volatility rises unexpected inflation data,0.05,Neutral
239,Reuters,Tech giants see surge in stock prices amid AI boom.,Finance,2024-10-25,tech giants see surge stock prices amid boom,0.0,Neutral
240,Forbes,Market volatility rises after unexpected inflation data.,Finance,2024-10-26,market volatility rises unexpected inflation data,0.05,Neutral
241,TechCrunch,Central banks signal interest rate adjustments next quarter.,Business,2024-10-27,central banks signal interest rate adjustments next quarter,0.2294,Positive
242,Reuters,Consumer confidence grows as GDP expands in Q3.,Business,2024-10-28,consumer confidence grows gdp expands,0.28595,Positive
243,BBC,Consumer confidence grows as GDP expands in Q3.,Policy,2024-10-29,consumer confidence grows gdp expands,0.28595,Positive
244,TechCrunch,Major brand unveils sustainability roadmap for 2030.,Technology,2024-10-30,major brand unveils sustainability roadmap,0.03125,Neutral
245,Bloomberg,Energy sector rebounds as oil prices stabilize.,Finance,2024-10-31,energy sector rebounds oil prices stabilize,0.1366,Positive
246,BBC,Central banks signal interest rate adjustments next quarter.,Business,2024-11-01,central banks signal interest rate adjustments next quarter,0.2294,Positive
247,Bloomberg,E-commerce sees record sales during holiday season.,Business,2024-11-02,ecommerce sees record sales holiday season,0.20095,Positive
248,BBC,Innovative startups disrupt traditional retail ecosystems.,Markets,2024-11-03,innovative startups disrupt traditional retail ecosystems,0.3452,Positive
249,Bloomberg,Tech giants see surge in stock prices amid AI boom.,Technology,2024-11-04,tech giants see surge stock prices amid boom,0.0,Neutral
250,TechCrunch,Innovative startups disrupt traditional retail ecosystems.,Technology,2024-11-05,innovative startups disrupt traditional retail ecosystems,0.3452,Positive
